words,sentiment_coeff
terhindar_dari,-67.5586681021138
di_wilayah,-90.84397276639469
dari,-107.36227742183524
aman,-103.45213650259957
kita_dukung,-65.50357387036524
agar,-111.55071076936066
bravo_polri,-92.81277453373369
mari,-119.9200576530066
28,-101.64933827511607
lost,-112.13076845197014
faca,0.9994913811974606
april_28,-81.01193974679299
pule_polsek,-113.0526780496485
key_workers,-88.67774217732135
bersamapolribantuwarga,-3.632482898509804
meat_processing,-34.40638667320722
eu,-110.245070573955
memorial_day,-95.33021697776435
sou_messias,-98.7547796339219
mas,-106.81294765912428
masyarakat,-122.16967640843252
nao,-97.73582597410085
cegah_penyebaran,-49.510834386783706
international,-101.02661146281211
memorial,-97.28792779488043
kurang_mampu,-98.71404000346341
masyarakat_kurang,-80.41456170145865
mampu,-93.15384286068533
minute_silence,-104.22432679060424
mampu_terdampak,1.0004261581269656
polres_trenggalek,-103.51772837880453
bantu,-104.14413304753623
trenggalek,-52.76803675940879
kurang,-99.73189832382023
bagikan_sembako,-70.19995114610136
polres,-109.48107672368144
ditengah_pandemi,-90.8892101143077
warga_yang,-82.60799376871364
doctor,-91.62343478062617
mayo_clinic,-55.40757751658453
without,-109.06596699075716
yang,-126.04679911053655
takes,-79.76247316541729
bantuan_sosial,-83.24066743274436
kepada,-111.79615634198525
one,-107.0393734427025
worked,-111.69679072477977
front,-103.10161573708972
start,-97.96919625161597
line,-107.70701393837884
join_us,-43.41927683274054
atau,-107.38461094485065
diz,-41.6458281417188
kepada_masyarakat,-56.723862800120024
warga_terdampak,-84.78204020942566
month_every,-44.07674937210041
american,-108.2545189971364
2000_month,-62.17757830795647
every,-102.26851557917283
american_moneyforthepeople,-57.680682694405654
give_2000,-57.41391146500675
bolsonaro,-96.853504117592
filho_da,1.002014805458198
failed,-108.37464756784868
tni_dan,-84.69841612727222
remember,-97.56516314787827
moneyforthepeople,-39.73712207381083
membantu_warga,-69.44102664733141
tni,-102.86508151846299
president_mike,-68.37355156309259
pence,-116.45208808498452
sembako,-78.34914686808774
vice_president,-85.09574067490061
ke,-117.27226706754621
linked,-109.91866795508399
americans_vietnam,-79.41542783036216
war,-109.81221618205126
processing_plants,-59.71408455615933
ke_pelosok,-90.9974385446665
wilayah,-113.74007563234916
hingga_ke,-102.56151018943187
pelosok,-108.79567383730237
paket_sembako,-97.56686500714642
hingga,-108.95186227989645
wuhan_lab,-71.96008963987468
trenggalek_bagikan,-83.98194991388154
safety,-98.81438343904367
baby,-68.42896621341866
paket,-96.17666337145232
yang_terdampak,-56.280277019259884
seguridad,-112.39941209736128
salud,-130.63266478258186
trabajo,-108.16483247001484
classroom,-82.98278609127829
ovnis,-83.00787747673215
mayo,-109.9510454644189
untuk_meringankan,-101.05288192595492
man_made,-38.7730628603495
of,-108.6246121073985
